,ZIP,STATE,MSA No.,MSA NAME
6741,15688,PA,38300,"Pittsburgh, PA MSA"
6742,15689,PA,38300,"Pittsburgh, PA MSA"
6743,15690,PA,38300,"Pittsburgh, PA MSA"
6744,15691,PA,38300,"Pittsburgh, PA MSA"
6745,15692,PA,38300,"Pittsburgh, PA MSA"
6746,15693,PA,38300,"Pittsburgh, PA MSA"
6747,15695,PA,38300,"Pittsburgh, PA MSA"
6748,15696,PA,38300,"Pittsburgh, PA MSA"
6749,15697,PA,38300,"Pittsburgh, PA MSA"
6750,15698,PA,38300,"Pittsburgh, PA MSA"
6751,15701,PA,99037,PA NONMETROPOLITAN AREA
6752,15705,PA,99037,PA NONMETROPOLITAN AREA
6753,15710,PA,99037,PA NONMETROPOLITAN AREA
6754,15711,PA,99037,PA NONMETROPOLITAN AREA
6755,15712,PA,99037,PA NONMETROPOLITAN AREA
6756,15713,PA,99037,PA NONMETROPOLITAN AREA
6757,15714,PA,27780,"Johnstown, PA MSA"
6758,15715,PA,99037,PA NONMETROPOLITAN AREA
6759,15716,PA,99037,PA NONMETROPOLITAN AREA
6762,ZIP CODE,STATE,MSA No.,MSA Name
6763,15717,PA,99037,PA NONMETROPOLITAN AREA
6764,15720,PA,99037,PA NONMETROPOLITAN AREA
6765,15721,PA,99037,PA NONMETROPOLITAN AREA
6766,15722,PA,27780,"Johnstown, PA MSA"
6767,15723,PA,99037,PA NONMETROPOLITAN AREA
6768,15724,PA,99037,PA NONMETROPOLITAN AREA
6769,15725,PA,99037,PA NONMETROPOLITAN AREA
6770,15727,PA,99037,PA NONMETROPOLITAN AREA
6771,15728,PA,99037,PA NONMETROPOLITAN AREA
6772,15729,PA,99037,PA NONMETROPOLITAN AREA
6773,15730,PA,99037,PA NONMETROPOLITAN AREA
6774,15731,PA,99037,PA NONMETROPOLITAN AREA
6775,15732,PA,99037,PA NONMETROPOLITAN AREA
6776,15733,PA,99037,PA NONMETROPOLITAN AREA
6777,15734,PA,99037,PA NONMETROPOLITAN AREA
6778,15736,PA,38300,"Pittsburgh, PA MSA"
6779,15737,PA,27780,"Johnstown, PA MSA"
6780,15738,PA,27780,"Johnstown, PA MSA"
6781,15739,PA,99037,PA NONMETROPOLITAN AREA
6782,15740,PA,99037,PA NONMETROPOLITAN AREA
6783,15741,PA,99037,PA NONMETROPOLITAN AREA
6784,15742,PA,99037,PA NONMETROPOLITAN AREA
6785,15744,PA,99037,PA NONMETROPOLITAN AREA
6786,15745,PA,99037,PA NONMETROPOLITAN AREA
6787,15746,PA,99037,PA NONMETROPOLITAN AREA
6788,15747,PA,99037,PA NONMETROPOLITAN AREA
6789,15748,PA,99037,PA NONMETROPOLITAN AREA
6790,15750,PA,99037,PA NONMETROPOLITAN AREA
6791,15751,PA,99037,PA NONMETROPOLITAN AREA
6792,15752,PA,99037,PA NONMETROPOLITAN AREA
6793,15753,PA,99037,PA NONMETROPOLITAN AREA
6794,15754,PA,99037,PA NONMETROPOLITAN AREA
6795,15756,PA,99037,PA NONMETROPOLITAN AREA
6796,15757,PA,99037,PA NONMETROPOLITAN AREA
6797,15758,PA,99037,PA NONMETROPOLITAN AREA
6798,15759,PA,99037,PA NONMETROPOLITAN AREA
6799,15760,PA,27780,"Johnstown, PA MSA"
6800,15761,PA,99037,PA NONMETROPOLITAN AREA
6801,15762,PA,27780,"Johnstown, PA MSA"
6802,15763,PA,99037,PA NONMETROPOLITAN AREA
6803,15764,PA,99037,PA NONMETROPOLITAN AREA
6804,15765,PA,99037,PA NONMETROPOLITAN AREA
6805,15767,PA,99037,PA NONMETROPOLITAN AREA
6806,15770,PA,99037,PA NONMETROPOLITAN AREA
6807,15771,PA,99037,PA NONMETROPOLITAN AREA
6808,15772,PA,99037,PA NONMETROPOLITAN AREA
6809,15773,PA,27780,"Johnstown, PA MSA"
6810,15774,PA,38300,"Pittsburgh, PA MSA"
6811,15775,PA,27780,"Johnstown, PA MSA"
6812,15776,PA,99037,PA NONMETROPOLITAN AREA
6813,15777,PA,99037,PA NONMETROPOLITAN AREA
6814,15778,PA,99037,PA NONMETROPOLITAN AREA
6815,15779,PA,38300,"Pittsburgh, PA MSA"
6816,15780,PA,99037,PA NONMETROPOLITAN AREA
6817,15781,PA,99037,PA NONMETROPOLITAN AREA
6818,15783,PA,99037,PA NONMETROPOLITAN AREA
6819,15784,PA,99037,PA NONMETROPOLITAN AREA
6820,15801,PA,99037,PA NONMETROPOLITAN AREA
6821,15821,PA,99037,PA NONMETROPOLITAN AREA
6822,15822,PA,99037,PA NONMETROPOLITAN AREA
6823,15823,PA,99037,PA NONMETROPOLITAN AREA
6824,15824,PA,99037,PA NONMETROPOLITAN AREA
6825,15825,PA,99037,PA NONMETROPOLITAN AREA
6828,ZIP CODE,STATE,MSA No.,MSA Name
6829,15827,PA,99037,PA NONMETROPOLITAN AREA
6830,15828,PA,99037,PA NONMETROPOLITAN AREA
6831,15829,PA,99037,PA NONMETROPOLITAN AREA
6832,15831,PA,99037,PA NONMETROPOLITAN AREA
6833,15832,PA,99037,PA NONMETROPOLITAN AREA
6834,15834,PA,99037,PA NONMETROPOLITAN AREA
6835,15840,PA,99037,PA NONMETROPOLITAN AREA
6836,15841,PA,99037,PA NONMETROPOLITAN AREA
6837,15845,PA,99037,PA NONMETROPOLITAN AREA
6838,15846,PA,99037,PA NONMETROPOLITAN AREA
6839,15847,PA,99037,PA NONMETROPOLITAN AREA
6840,15848,PA,99037,PA NONMETROPOLITAN AREA
6841,15849,PA,99037,PA NONMETROPOLITAN AREA
6842,15851,PA,99037,PA NONMETROPOLITAN AREA
6843,15853,PA,99037,PA NONMETROPOLITAN AREA
6844,15856,PA,99037,PA NONMETROPOLITAN AREA
6845,15857,PA,99037,PA NONMETROPOLITAN AREA
6846,15860,PA,99037,PA NONMETROPOLITAN AREA
6847,15861,PA,99037,PA NONMETROPOLITAN AREA
6848,15863,PA,99037,PA NONMETROPOLITAN AREA
